NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;GRUE   ;OEVP   ;NEOS   ;HC     ;LINKS  ;BIER   ;SOEZ   ;VOLT   ;WIFF   ;PRO    ;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;29;436;159;5;56;9;36;24;12;5;8;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;30;931;326;1;138;14;69;45;20;6;24;6;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;31;695;258;15;141;25;6;26;6;9;8;5;17;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;32;790;328;3;204;25;14;30;3;18;4;4;23;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;33;777;332;1;158;26;39;46;23;17;10;9;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;34;438;156;6;71;9;27;17;8;4;6;6;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;35;988;352;1;163;29;48;51;19;18;9;8;6;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;36;786;299;5;112;23;61;49;21;9;11;6;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;37;606;222;1;79;11;45;38;27;4;11;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;38;835;287;2;94;16;77;48;21;7;13;8;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;39;947;360;7;155;15;69;48;28;12;15;8;2;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;40;578;200;3;76;8;54;21;16;7;7;5;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;41;601;209;3;82;6;50;31;18;2;13;2;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;42;536;197;3;62;13;54;27;17;3;12;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;43;495;185;6;93;9;13;27;10;4;10;5;8;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;44;471;155;0;59;10;34;16;15;11;2;5;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;45;0;8935;52;3302;303;2398;1487;781;108;322;142;30;10;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;0;0;24;4;8;0;7;1;2;1;1;0;0;0;0;0;                                                                                                                                                                                         
